"Venue
",Year/volume,Title,DOI,Uses (workloads of) workflow traces in experiments?,WFs realistic (real world)?,"# Different workflow applications (types, e.g. Montage, LIGO, etc.)",Data open source?,How many WFs do they use?,Size of the largest WF (amount of tasks),Size of the smallest WF,Notes,Domains,Fields
ATC,2009,Layering in Provenance Systems,,n,,,,,,,,,
CCGrid,2009,Cesar-FD: An Effective Stateful Fault Detection Mechanism in Drug Discovery Grid,10.1109/CCGRID.2009.28,n,,,,,,,,,
CCGrid,2009,A Novel Collaborative Grid Framework for Distributed Healthcare,10.1109/CCGRID.2009.74,n,,,,,,,,,
CCGrid,2009,Using Templates to Predict Execution Time of Scientific Workflow Applications in the Grid,10.1109/CCGRID.2009.77,n,,,,,,,Executed 3 application on ASKALON,,
CCGrid,2009,Combined Fault Tolerance and Scheduling Techniques for Workflow Applications on Computational Grids,10.1109/CCGRID.2009.59,y,n,5,n,635,?,?,Does not mention anything regarding sizes,"Scientific, Engineering, Unknown, Unknown, Unknown","Astronomy, Signal processing, Unknown, Unknown, Unknown"
CCGrid,2009,Reliability-Oriented Genetic Algorithm for Workflow Applications Using Max-Min Strategy,10.1109/CCGRID.2009.14,y,n,1,n,200,200,40,Random DAG generator. They run the generator 100x on DLS and 100x on RDLS = 200 WFs?,Unknown,Unknown
CCGrid,2009,Hybrid Re-scheduling Mechanisms for Workflow Applications on Multi-cluster Grid,10.1109/CCGRID.2009.60,n,,,,,,,"The authors run DAGs on real clusters, I assume these are applications and not traces",,
CCGrid,2009,Automating Malware Scanning Using Workflows,10.1109/CCGRID.2009.90,n,,,,,,,,,
CCGrid,2009,Utility Driven Adaptive Work?ow Execution,10.1109/CCGRID.2009.15,n,,,,,,,,,
CCGrid,2009,A Hybrid Intelligent Method for Performance Modeling and Prediction of Workflow Activities in Grids,10.1109/CCGRID.2009.58,y,y,4,n,10000,?,?,,"Engineering, Engineering, Scientific, Scientific","Chemistry, Hydrology, Astrology, Meteorology"
CCGrid,2009,An Agent-Based Approach for Autonomic Web Service Workflow Model,10.1109/CCGRID.2009.95,n,,,,,,,,,
CCGrid,2009,Grid-Based Sleep Research: Analysis of Polysomnographies Using a Grid Infrastructure,10.1109/CCGRID.2009.52,n,,,,,,,,,
CCGrid,2009,Hierarchical Caches for Grid Workflows,10.1109/CCGRID.2009.10,n,,,,,,,,,
CCGrid,2009,On-Demand Resource Provisioning for BPEL Workflows Using Amazon's Elastic Compute Cloud,10.1109/CCGRID.2009.30,n,,,,,,,,,
CCGrid,2009,Experiment and Workflow Management Using Cyberaide Shell,10.1109/CCGRID.2009.66,n,,,,,,,,,
CCGrid,2011,Improving Utilization of Infrastructure Clouds,10.1109/CCGrid.2011.56,y,y,1,n,1,748,748,"If memory serves, a Condor job is like a task.",Unknown,Unknown
CCGrid,2011,Autonomic SLA-Driven Provisioning for Cloud Applications,10.1109/CCGrid.2011.24,n,,,,,,,,,
CCGrid,2011,"Towards Reliable, Performant Workflows for Streaming-Applications on Cloud Platforms",10.1109/CCGrid.2011.74,y,n,1,n,8,14,1,,Unknown,Unknown
CCGrid,2012,ParaLite: Supporting Collective Queries in Database System to Parallelize User-Defined Executable,10.1109/CCGrid.2012.74,n,,,,,,,,,
CCGrid,2012,Decentralized Orchestration of Data-centric Workflows Using the Object Modeling System,10.1109/CCGrid.2012.110,n,,,,,,,,,
CCGrid,2012,A Workflow-Aware Storage System: An Opportunity Study,10.1109/CCGrid.2012.109,y,n,1,n,9,5,4,,Unknown,Unknown
CCGrid,2012,A Multi-objective Approach for Workflow Scheduling in Heterogeneous Environments,10.1109/CCGrid.2012.114,y,y,2,n,1000,20702,7,,"Engineering, Scientific","Chemistry, Meteorology"
CCGrid,2012,Provisioning-Based Resource Management for Effective Workflow Scheduling on Utility Grids,10.1109/CCGrid.2012.103,y,n,1,n,1,100,100,,Unknown,Unknown
CCGrid,2012,A Cloud Infrastructure for Optimization of a Massive Parallel Sequencing Workflow,10.1109/CCGrid.2012.91,n,,,,,,,,,
CCGrid,2012,Enhanced Energy-Efficient Scheduling for Parallel Applications in Cloud,10.1109/CCGrid.2012.49,y,y/n,2,n,7,209,20,,"Unknown, Unknown","Unknown, Unknown"
CCGrid,2012,"End-to-End QoS on Shared Clouds for Highly Dynamic, Large-Scale Sensing Data Streams",10.1109/CCGrid.2012.67,y,n,1,n,2,?,?,,"Engineering, Scientific","Smart Grid, Meteorology"
CCGrid,2012,Business Process Engine Simulator,10.1109/CCGrid.2012.130,n,,,,,,,,,
CCGrid,2012,Integration of Workflow Partitioning and Resource Provisioning,10.1109/CCGrid.2012.57,y,y,3,y,3,24132,1586,,"Scientific, Scientific, Scientific","Astronomy, Geology, Bioinformatics"
CCGrid,2012,Self-Healing of Operational Workflow Incidents on Distributed Computing Infrastructures,10.1109/CCGrid.2012.24,n,,,,,,,,,
CCGrid,2012,Fine-Grained Access Control in the Chirp Distributed File System,10.1109/CCGrid.2012.128,n,,,,,,,,,
CCGrid,2012,Resource Management for Elastic Cloud Workflows,10.1109/CCGrid.2012.107,n,,,,,,,,,
CCGrid,2012,Automating Data-Throttling Analysis for Data-Intensive Workflows,10.1109/CCGrid.2012.27,y,y,1,y,1,25,25,,Scientific,Astronomy
CCGrid,2012,Workflow Scheduling to Minimize Data Movement Using Multi-constraint Graph Partitioning,10.1109/CCGrid.2012.134,n,,,,,,,,,
CCGrid,2012,Simulation Processes in the Cloud for Emergency Planning,10.1109/CCGrid.2012.88,n,,,,,,,,,
CCGrid,2014,Supporting Queries and Analyses of Large-Scale Social Media Data with Customizable and Scalable Indexing Techniques over NoSQL Databases,10.1109/CCGrid.2014.57,n,,,,,,,,,
CCGrid,2014,"A Workflow-Inspired, Modular and Robust Approach to Experiments in Distributed Systems",10.1109/CCGrid.2014.33,n,,,,,,,,,
CCGrid,2014,Accelerating Comparative Genomics Workflows in a Distributed Environment with Optimized Data Partitioning,10.1109/CCGrid.2014.79,n,,,,,,,,,
CCGrid,2014,ToMaR -- A Data Generator for Large Volumes of Content,10.1109/CCGrid.2014.88,n,,,,,,,,,
CCGrid,2014,Modeling the Virtual Machine Launching Overhead under Fermicloud,10.1109/CCGrid.2014.87,n,,,,,,,,,
CCGrid,2014,PLAStiCC: Predictive Look-Ahead Scheduling for Continuous Dataflows on Clouds,10.1109/CCGrid.2014.60,y,y,1,n,1,?,?,The work in on dataflows rather than batch workloads. I still feel it qualifies,industry,Smart power grids
CCGrid,2014,A Scalable Real-Time Photometric System for Automatic Astronomical Observations on Dome A,10.1109/CCGrid.2014.36,n,,,,,,,,,
CCGrid,2014,From Scripted HPC-Based NGS Pipelines to Workflows on the Cloud,10.1109/CCGrid.2014.128,n,,,,,,,,,
CCGrid,2014,A Flexible Framework for Asynchronous in Situ and in Transit Analytics for Scientific Simulations,10.1109/CCGrid.2014.92,n,,,,,,,,,
CCGrid,2014,V for Vicissitude: The Challenge of Scaling Complex Big Data Workflows,10.1109/CCGrid.2014.97,n,,,,,,,,,
CCGrid,2014,A Survey on Workflow Management and Scheduling in Cloud Computing,10.1109/CCGrid.2014.83,n,,,,,,,,,
CCGrid,2014,Expanding Tasks of Logical Workflows Into Independent Workflows for Improved Scalability,10.1109/CCGrid.2014.84,n,,,,,,,,,
CCGrid,2014,Flexpath: Type-Based Publish/Subscribe System for Large-Scale Science Analytics,10.1109/CCGrid.2014.104,n,,,,,,,,,
CCGrid,2015,Scheduling Workloads of Workflows with Unknown Task Runtimes,10.1109/CCGrid.2015.27,y,n,3,n,12000,600,30,,scientific,"astronomy, physics, bioinformatics"
CCGrid,2015,Scalable In-Memory Computing,10.1109/CCGrid.2015.106,n,,,,,,,,,
CCGrid,2015,Gerbil: Mpi+yarn,10.1109/CCGrid.2015.137,n,,,,,,,,,
CCGrid,2015,A Comparative Analysis of Scheduling Mechanisms for Virtual Screening Workflow in a Shared Resource Environment,10.1109/CCGrid.2015.123,y,n,1,n,1500,?,?,,scientific,uncategorized
CCGrid,2015,Towards a Realistic Scheduler for Mixed Workloads with Workflows,10.1109/CCGrid.2015.74,n,,,,,,,,,
CCGrid,2015,Confuga: Scalable Data Intensive Computing for POSIX Workflows,10.1109/CCGrid.2015.95,n,,,,,,,,,
CCGrid,2015,A Data Placement Strategy for Data-Intensive Scientific Workflows in Cloud,10.1109/CCGrid.2015.72,y,n,1,n,100,?,?,Does not mention # tasks or any size property,scientific,uncategorized
CCGrid,2015,FlexiMod: Flexible Coexistence Support for Programming Models,10.1109/CCGrid.2015.173,n,,,,,,,,,
CCGrid,2016,Optimizing Massively Parallel Simulations of Infection Spread Through Air-Travel for Policy Analysis,10.1109/CCGrid.2016.23,n,,,,,,,uses code WFs,,
CCGrid,2016,Managing Big Data Analytics Workflows with a Database System,10.1109/CCGrid.2016.63,n,,,,,,,,,
CCGrid,2016,Multiobjective Workflow Scheduling in a Federation of Heterogeneous Green-Powered Data Centers,10.1109/CCGrid.2016.34,n,,,,,,,,,
CCGrid,2016,EDISON: A Web-Based HPC Simulation Execution Framework for Large-Scale Scientific Computing Software,10.1109/CCGrid.2016.31,n,,,,,,,,,
CCGrid,2016,The Latin American Giant Observatory: A Successful Collaboration in Latin America Based on Cosmic Rays and Computer Science Domains,10.1109/CCGrid.2016.110,n,,,,,,,,,
CCGrid,2016,Low Latency and Resource-Aware Program Composition for Large-Scale Data Analysis,10.1109/CCGrid.2016.88,n,,,,,,,,,
CCGrid,2016,Flexible Data-Aware Scheduling for Workflows over an In-memory Object Store,10.1109/CCGrid.2016.40,n,,,,,,,,,
CCGrid,2016,Tigres Workflow Library: Supporting Scientific Pipelines on HPC Systems,10.1109/CCGrid.2016.54,n,,,,,,,uses code WFs,,
CCGrid,2017,Massive Data Load on Distributed Database Systems over HBase,10.1109/CCGRID.2017.124,n,n,1,n,3,?,?,CSV files generated,,
CCGrid,2017,A Level-Wise Load Balanced Scientific Workflow Execution Optimization Using NSGA-II,,n,,,,,,,uses code WFs,,
CCGrid,2017,Parallel Variable Selection for Effective Performance Prediction,10.1109/CCGRID.2017.47,y,y,1,n,2,?,?,"search for 'data', 3 months and 1 month log lengths",scientific,astronomy
CCGrid,2017,Deploying High Throughput Scientific Workflows on Container Schedulers with Makeflow and Mesos,,n,,,,,,,uses code WFs,,
CCGrid,2017,On the Use of In-memory Analytics Workflows to Compute eScience Indicators from Large Climate Datasets,,n,,,,,,,uses real data sets with code,,
CCGrid,2017,PRIVAaaS: Privacy Approach for a Distributed Cloud-Based Data Analytics Platforms,,n,,,,,,,,,
CCGrid,2017,Lemonade: A Scalable and Efficient Spark-Based Platform for Data Analytics,,n,,,,,,,Runs code on real data sets,,
CCGrid,2017,Enabling Distributed Software-Defined Environments Using Dynamic Infrastructure Service Composition,,n,,,,,,,Runs code in clouds,,
CLOUD,2016,Uncertainty-Aware Real-Time Workflow Scheduling in the Cloud,10.1109/CLOUD.2016.0082,y,y,4,n,4,100,30,,scientific,"astronomy, bioinformatics, geology, physics"
CLOUD,2016,D3W: Towards Self-Management of Distributed Data-Driven Workflows with QoS Guarantees,10.1109/CLOUD.2016.0029,n,,,,,,,runs code,,
CLOUD,2016,Dynamic Deployment and Auto-scaling Enterprise Applications on the Heterogeneous Cloud,10.1109/CLOUD.2016.0138,y,n,1,n,1,?,?,"They run a HTTP stress tool, which is a generated form of workload and could be shared.",industry,web
CLOUD,2016,Resource Management for Elastic Publish Subscribe Systems: A Performance Modeling-Based Approach,10.1109/CLOUD.2016.0080,n,,,,,,,Run some programs,,
CLOUD,2016,End-to-End Security Formalization and Alignment for Federated Workflow Management,10.1109/CLOUD.2016.0018,n,,,,,,,,,
CLOUD,2017,A Robust Scheduler for Workflow Ensembles under Uncertainties of Available Bandwidth,10.1109/CLOUD.2017.70,y,n,3,n,100,50,50,,scientific,"physics, astronomy, bioinformatics"
CLOUD,2017,Provenance in Context of Hadoop as a Service (HaaS) - State of the Art and Research Directions,10.1109/CLOUD.2017.91,n,,,,,,,,,
CLOUD,2017,Hierarchical Spark: A Multi-Cluster Big Data Computing Framework,10.1109/CLOUD.2017.20,n,,,,,,,,,
CLOUD,2017,Using Integer Programming for Workflow Scheduling in the Cloud,10.1109/CLOUD.2017.26,y,n,4,n,,,,,scientific,"bioinformatics, astronomy, physics, bioinformatics"
CLUSTER,2013,Building an open Genome Wide Association Study (GWAS) platform,10.1109/CLUSTER.2013.6702696,n,,,,,,,,,
CLUSTER,2013,FlexQuery: An online query system for interactive remote visual data exploration at large scale,10.1109/CLUSTER.2013.6702635,n,,,,,,,,,
CLUSTER,2013,"BioExtract Server, a Web-based workflow enabling system, leveraging iPlant collaborative resources",10.1109/CLUSTER.2013.6702692,n,,,,,,,,,
CLUSTER,2013,Model-driven multisite workflow scheduling,10.1109/CLUSTER.2013.6702647,n,,,,,,,,,
CLUSTER,2013,User-friendly metaworkflows in quantum chemistry,10.1109/CLUSTER.2013.6702700,n,,,,,,,,,
CLUSTER,2013,Enabling multi-task computation on Galaxy-based gateways using swift,10.1109/CLUSTER.2013.6702701,n,,,,,,,,,
CLUSTER,2014,Applying frequency analysis techniques to dag-based workflows to benchmark and predict resource behavior on non-dedicated clusters,10.1109/CLUSTER.2014.6968734,n,,,,,,,,,
CLUSTER,2014,POSTER: Leveraging deep memory hierarchies for data staging in coupled data-intensive simulation workflows,10.1109/CLUSTER.2014.6968744,y,y,2,n,2,?,?,No notes on the size,scientific,"physics, physics"
CLUSTER,2014,Evaluating Grasp-based cloud dimensioning for comparative genomics: A practical approach,10.1109/CLUSTER.2014.6968789,n,,,,,,,,,
CLUSTER,2014,Disk cache-aware task scheduling for data-intensive and many-task workflow,10.1109/CLUSTER.2014.6968774,n,,,,,,,,,
CLUSTER,2016,A Software-Defined Storage for Workflow Applications,10.1109/CLUSTER.2016.56,n,,,,,,,,,
CLUSTER,2016,FlashStager: Improving the Performance of SSD-Based Data Staging Systems via Write Redirection,10.1109/CLUSTER.2016.46,n,,,,,,,,,
CLUSTER,2016,Bredala: Semantic Data Redistribution for In Situ Applications,10.1109/CLUSTER.2016.30,n,,,,,,,,,
CLUSTER,2016,SuperGlue: Standardizing Glue Components for HPC Workflows,10.1109/CLUSTER.2016.90,n,,,,,,,,,
CLUSTER,2017,Parallel and Efficient Sensitivity Analysis of Microscopy Image Segmentation Workflows in Hybrid Systems,10.1109/CLUSTER.2017.28,n,,,,,,,,,
