"Venue
",Year/volume,Title,DOI,Uses (workloads of) workflow traces in experiments?,WFs realistic (real world data)?,"# Different workflow applications (types, e.g. Montage, LIGO, etc.)",Data open source?,How many WFs do they use?,Size of the largest WF (amount of tasks),Size of the smallest WF,Notes,Domains,Fields,Citations
ATC,2009,Layering in Provenance Systems,,n,,,,,,,,,,145
CCGrid,2009,Cesar-FD: An Effective Stateful Fault Detection Mechanism in Drug Discovery Grid,10.1109/CCGRID.2009.28,n,,,,,,,,,,3
CCGrid,2009,A Novel Collaborative Grid Framework for Distributed Healthcare,10.1109/CCGRID.2009.74,n,,,,,,,,,,7
CCGrid,2009,Using Templates to Predict Execution Time of Scientific Workflow Applications in the Grid,10.1109/CCGRID.2009.77,n,,,,,,,Executed 3 application on ASKALON,,,38
CCGrid,2009,Combined Fault Tolerance and Scheduling Techniques for Workflow Applications on Computational Grids,10.1109/CCGRID.2009.59,y,n,5,n,635,?,?,Does not mention anything regarding sizes,"Scientific, Engineering, Unknown, Unknown, Unknown","Astronomy, Signal processing, Unknown, Unknown, Unknown",57
CCGrid,2009,Reliability-Oriented Genetic Algorithm for Workflow Applications Using Max-Min Strategy,10.1109/CCGRID.2009.14,y,n,1,n,200,200,40,Random DAG generator. They run the generator 100x on DLS and 100x on RDLS = 200 WFs?,Unknown,Unknown,21
CCGrid,2009,Hybrid Re-scheduling Mechanisms for Workflow Applications on Multi-cluster Grid,10.1109/CCGRID.2009.60,n,,,,,,,"The authors run DAGs on real clusters, I assume these are applications and not traces",,,25
CCGrid,2009,Automating Malware Scanning Using Workflows,10.1109/CCGRID.2009.90,n,,,,,,,,,,0
CCGrid,2009,Utility Driven Adaptive Work?ow Execution,10.1109/CCGRID.2009.15,n,,,,,,,,,,22
CCGrid,2009,A Hybrid Intelligent Method for Performance Modeling and Prediction of Workflow Activities in Grids,10.1109/CCGRID.2009.58,y,y,4,n,10000,?,?,,"Engineering, Engineering, Scientific, Scientific","Chemistry, Hydrology, Astrology, Meteorology",54
CCGrid,2009,An Agent-Based Approach for Autonomic Web Service Workflow Model,10.1109/CCGRID.2009.95,n,,,,,,,,,,1
CCGrid,2009,Grid-Based Sleep Research: Analysis of Polysomnographies Using a Grid Infrastructure,10.1109/CCGRID.2009.52,n,,,,,,,,,,7
CCGrid,2009,Hierarchical Caches for Grid Workflows,10.1109/CCGRID.2009.10,n,,,,,,,,,,11
CCGrid,2009,On-Demand Resource Provisioning for BPEL Workflows Using Amazon's Elastic Compute Cloud,10.1109/CCGRID.2009.30,n,,,,,,,,,,167
CCGrid,2009,Experiment and Workflow Management Using Cyberaide Shell,10.1109/CCGRID.2009.66,n,,,,,,,,,,32
CCGrid,2011,Improving Utilization of Infrastructure Clouds,10.1109/CCGrid.2011.56,y,y,1,n,1,748,748,"If memory serves, a Condor job is like a task.",Unknown,Unknown,96
CCGrid,2011,Autonomic SLA-Driven Provisioning for Cloud Applications,10.1109/CCGrid.2011.24,n,,,,,,,,,,85
CCGrid,2011,"Towards Reliable, Performant Workflows for Streaming-Applications on Cloud Platforms",10.1109/CCGrid.2011.74,y,n,1,n,8,14,1,,Unknown,Unknown,31
CCGrid,2012,ParaLite: Supporting Collective Queries in Database System to Parallelize User-Defined Executable,10.1109/CCGrid.2012.74,n,,,,,,,,,,10
CCGrid,2012,Decentralized Orchestration of Data-centric Workflows Using the Object Modeling System,10.1109/CCGrid.2012.110,n,,,,,,,,,,14
CCGrid,2012,A Workflow-Aware Storage System: An Opportunity Study,10.1109/CCGrid.2012.109,y,n,1,n,9,5,4,,Unknown,Unknown,34
CCGrid,2012,A Multi-objective Approach for Workflow Scheduling in Heterogeneous Environments,10.1109/CCGrid.2012.114,y,y,2,n,1000,20702,7,,"Engineering, Scientific","Chemistry, Meteorology",133
CCGrid,2012,Provisioning-Based Resource Management for Effective Workflow Scheduling on Utility Grids,10.1109/CCGrid.2012.103,y,n,1,n,1,100,100,,Unknown,Unknown,2
CCGrid,2012,A Cloud Infrastructure for Optimization of a Massive Parallel Sequencing Workflow,10.1109/CCGrid.2012.91,n,,,,,,,,,,1
CCGrid,2012,Enhanced Energy-Efficient Scheduling for Parallel Applications in Cloud,10.1109/CCGrid.2012.49,y,y/n,2,n,7,209,20,,"Unknown, Unknown","Unknown, Unknown",66
CCGrid,2012,"End-to-End QoS on Shared Clouds for Highly Dynamic, Large-Scale Sensing Data Streams",10.1109/CCGrid.2012.67,y,n,1,n,2,?,?,,"Engineering, Scientific","Smart Grid, Meteorology",18
CCGrid,2012,Business Process Engine Simulator,10.1109/CCGrid.2012.130,n,,,,,,,,,,0
CCGrid,2012,Integration of Workflow Partitioning and Resource Provisioning,10.1109/CCGrid.2012.57,y,y,3,y,3,24132,1586,,"Scientific, Scientific, Scientific","Astronomy, Geology, Bioinformatics",41
CCGrid,2012,Self-Healing of Operational Workflow Incidents on Distributed Computing Infrastructures,10.1109/CCGrid.2012.24,n,,,,,,,,,,15
CCGrid,2012,Fine-Grained Access Control in the Chirp Distributed File System,10.1109/CCGrid.2012.128,n,,,,,,,,,,6
CCGrid,2012,Resource Management for Elastic Cloud Workflows,10.1109/CCGrid.2012.107,n,,,,,,,,,,15
CCGrid,2012,Automating Data-Throttling Analysis for Data-Intensive Workflows,10.1109/CCGrid.2012.27,y,y,1,y,1,25,25,,Scientific,Astronomy,6
CCGrid,2012,Workflow Scheduling to Minimize Data Movement Using Multi-constraint Graph Partitioning,10.1109/CCGrid.2012.134,n,,,,,,,,,,55
CCGrid,2012,Simulation Processes in the Cloud for Emergency Planning,10.1109/CCGrid.2012.88,n,,,,,,,,,,12
CCGrid,2014,Supporting Queries and Analyses of Large-Scale Social Media Data with Customizable and Scalable Indexing Techniques over NoSQL Databases,10.1109/CCGrid.2014.57,n,,,,,,,,,,6
