trace relationship count
alibaba2018_parquet 0:0 142716869
alibaba2018_parquet 0:1 105834518
alibaba2018_parquet 0:N 752715186
alibaba2018_parquet 1:0 35855166
alibaba2018_parquet 1:1 8234828
alibaba2018_parquet 1:N 66858485
alibaba2018_parquet N:0 76827332
alibaba2018_parquet N:1 23325883
alibaba2018_parquet N:N 138544063
askalon_ee2_parquet N:0 871
askalon_ee2_parquet N:1 15
askalon_ee2_parquet N:N 105
askalon_ee2_parquet 1:0 302
askalon_ee2_parquet 1:1 16019
askalon_ee2_parquet 1:N 48
askalon_ee2_parquet 0:0 372
askalon_ee2_parquet 0:1 27902
askalon_ee2_parquet 0:N 152
askalon_ee_parquet N:0 1802
askalon_ee_parquet N:1 984
askalon_ee_parquet N:N 717
askalon_ee_parquet 1:0 29082
askalon_ee_parquet 1:1 55713
askalon_ee_parquet 1:N 2407
askalon_ee_parquet 0:0 15449
askalon_ee_parquet 0:1 14158
askalon_ee_parquet 0:N 1579
askalon-new_ee10_parquet N:0 20
askalon-new_ee10_parquet 1:1 520
askalon-new_ee10_parquet 0:N 20
askalon-new_ee10_parquet N:N 20
askalon-new_ee11_parquet N:0 20
askalon-new_ee11_parquet 1:1 520
askalon-new_ee11_parquet 0:N 20
askalon-new_ee11_parquet N:N 20
askalon-new_ee12_parquet N:0 21
askalon-new_ee12_parquet 1:1 546
askalon-new_ee12_parquet 0:N 21
askalon-new_ee12_parquet N:N 21
askalon-new_ee13_parquet N:0 21
askalon-new_ee13_parquet 1:1 546
askalon-new_ee13_parquet 0:N 21
askalon-new_ee13_parquet N:N 21
askalon-new_ee14_parquet N:0 21
askalon-new_ee14_parquet 1:1 546
askalon-new_ee14_parquet 0:N 21
askalon-new_ee14_parquet N:N 21
askalon-new_ee15_parquet N:0 20
askalon-new_ee15_parquet 1:1 1760
askalon-new_ee15_parquet 0:N 20
askalon-new_ee15_parquet N:N 20
askalon-new_ee16_parquet N:0 20
askalon-new_ee16_parquet 1:1 1760
askalon-new_ee16_parquet 0:N 20
askalon-new_ee16_parquet N:N 20
askalon-new_ee17_parquet N:0 20
askalon-new_ee17_parquet 1:1 1760
askalon-new_ee17_parquet 0:N 20
askalon-new_ee17_parquet N:N 20
askalon-new_ee18_parquet N:0 20
askalon-new_ee18_parquet 1:1 1760
askalon-new_ee18_parquet 0:N 20
askalon-new_ee18_parquet N:N 20
askalon-new_ee19_parquet N:0 20
askalon-new_ee19_parquet 1:1 1760
askalon-new_ee19_parquet 0:N 20
askalon-new_ee19_parquet N:N 20
askalon-new_ee20_parquet N:0 20
askalon-new_ee20_parquet 1:1 1760
askalon-new_ee20_parquet 0:N 20
askalon-new_ee20_parquet N:N 20
askalon-new_ee21_parquet N:0 20
askalon-new_ee21_parquet 1:1 1760
askalon-new_ee21_parquet 0:N 20
askalon-new_ee21_parquet N:N 20
askalon-new_ee22_parquet N:0 20
askalon-new_ee22_parquet 1:1 1760
askalon-new_ee22_parquet 0:N 20
askalon-new_ee22_parquet N:N 20
askalon-new_ee23_parquet N:0 21
askalon-new_ee23_parquet 1:1 1848
askalon-new_ee23_parquet 0:N 21
askalon-new_ee23_parquet N:N 21
askalon-new_ee24_parquet N:0 22
askalon-new_ee24_parquet 1:1 1936
askalon-new_ee24_parquet 0:N 22
askalon-new_ee24_parquet N:N 22
askalon-new_ee25_parquet N:0 23
askalon-new_ee25_parquet 1:1 2024
askalon-new_ee25_parquet 0:N 23
askalon-new_ee25_parquet N:N 23
askalon-new_ee26_parquet N:0 22
askalon-new_ee26_parquet N:1 418
askalon-new_ee26_parquet 0:N 66
askalon-new_ee27_parquet N:0 25
askalon-new_ee27_parquet N:1 475
askalon-new_ee27_parquet 0:N 75
